"overall_segment","administering_provider_type","age_group","demographic_group","demographic_subgroup","demographic_subgroup_sort_order","total_1st_doses","total_2nd_doses","total_single_doses","total_recipients","total_series_completed","subgroup_population","age_group_population","data_as_of","data_loaded_at"
"Ages 65+ by Age Bracket, Administered by DPH Only","DPH Only","65+","Age Bracket","75+",9,5951,5189,235,6276,5424,60907,135027,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.722"
"Ages 65+ by Race/Ethnicity, Administered by All Providers","All Providers","65+","Race/Ethnicity","American Indian or Alaska Native",1,155,133,9,164,142,212,135027,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.723"
"Ages 65+ by Race/Ethnicity, Administered by All Providers","All Providers","65+","Race/Ethnicity","Asian",2,49988,44054,2242,52236,46296,59492,135027,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.725"
"Ages 65+ by Race/Ethnicity, Administered by All Providers","All Providers","65+","Race/Ethnicity","Black or African American",3,5738,5060,401,6138,5461,7566,135027,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.726"
"Ages 65+ by Race/Ethnicity, Administered by All Providers","All Providers","65+","Race/Ethnicity","Hispanic or Latino/a, all races",4,9313,8062,324,9641,8386,12238,135027,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.727"
"Ages 65+ by Race/Ethnicity, Administered by All Providers","All Providers","65+","Race/Ethnicity","Multi-Racial",7,1685,1548,47,1731,1595,1848,135027,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.728"
"Ages 65+ by Race/Ethnicity, Administered by All Providers","All Providers","65+","Race/Ethnicity","Native Hawaiian or Other Pacific Islander",5,307,269,14,321,283,212,135027,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.729"
"Ages 65+ by Race/Ethnicity, Administered by All Providers","All Providers","65+","Race/Ethnicity","Other Race",8,4831,4211,189,5023,4400,362,135027,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.730"
"Ages 65+ by Race/Ethnicity, Administered by All Providers","All Providers","65+","Race/Ethnicity","Unknown",9,2824,2249,125,2951,2374,0,135027,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.731"
"Ages 65+ by Race/Ethnicity, Administered by All Providers","All Providers","65+","Race/Ethnicity","White",6,42396,38977,1099,43510,40076,53097,135027,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.732"
"Ages 65+ by Race/Ethnicity, Administered by DPH Only","DPH Only","65+","Race/Ethnicity","American Indian or Alaska Native",1,33,33,0,35,33,212,135027,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.733"
"Ages 65+ by Race/Ethnicity, Administered by DPH Only","DPH Only","65+","Race/Ethnicity","Asian",2,8814,7579,185,9087,7764,59492,135027,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.735"
"Ages 65+ by Race/Ethnicity, Administered by DPH Only","DPH Only","65+","Race/Ethnicity","Black or African American",3,2507,2165,124,2655,2289,7566,135027,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.736"
"Ages 65+ by Race/Ethnicity, Administered by DPH Only","DPH Only","65+","Race/Ethnicity","Hispanic or Latino/a, all races",4,3704,3220,46,3777,3266,12238,135027,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.737"
"Ages 65+ by Race/Ethnicity, Administered by DPH Only","DPH Only","65+","Race/Ethnicity","Multi-Racial",7,400,349,5,411,354,1848,135027,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.738"
"Ages 65+ by Race/Ethnicity, Administered by DPH Only","DPH Only","65+","Race/Ethnicity","Native Hawaiian or Other Pacific Islander",5,72,59,3,75,62,212,135027,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.739"
"Ages 65+ by Race/Ethnicity, Administered by DPH Only","DPH Only","65+","Race/Ethnicity","Other Race",8,560,477,7,569,484,362,135027,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.740"
"Ages 65+ by Race/Ethnicity, Administered by DPH Only","DPH Only","65+","Race/Ethnicity","Unknown",9,189,133,33,223,166,0,135027,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.741"
"Ages 65+ by Race/Ethnicity, Administered by DPH Only","DPH Only","65+","Race/Ethnicity","White",6,3997,3504,153,4203,3657,53097,135027,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.742"
"All Ages by Age Bracket, Administered by All Providers","All Providers","All","Age Bracket","12-17",2,26369,18085,10,26378,18095,33938,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.744"
"All Ages by Age Bracket, Administered by All Providers","All Providers","All","Age Bracket","18-24",3,40620,33910,3001,43646,36911,62127,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.745"
"All Ages by Age Bracket, Administered by All Providers","All Providers","All","Age Bracket","25-34",4,129010,111531,11197,140329,122728,204639,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.746"
"All Ages by Age Bracket, Administered by All Providers","All Providers","All","Age Bracket","35-44",5,105893,93002,8525,114455,101527,138390,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.747"
"All Ages by Age Bracket, Administered by All Providers","All Providers","All","Age Bracket","45-54",6,86719,76653,8912,95645,85565,115527,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.748"
"All Ages by Age Bracket, Administered by All Providers","All Providers","All","Age Bracket","55-64",7,79397,70677,9268,88673,79945,101483,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.749"
"All Ages by Age Bracket, Administered by All Providers","All Providers","All","Age Bracket","65-74",8,69079,61330,2640,71736,63970,74120,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.750"
"All Ages by Age Bracket, Administered by All Providers","All Providers","All","Age Bracket","75+",9,48158,43233,1810,49979,45043,60907,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.751"
"All Ages by Age Bracket, Administered by All Providers","All Providers","All","Age Bracket","Under 12",1,67,14,2,69,16,83656,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.752"
"All Ages by Age Bracket, Administered by DPH Only","DPH Only","All","Age Bracket","12-17",2,3458,2278,0,3488,2278,33938,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.754"
"All Ages by Age Bracket, Administered by DPH Only","DPH Only","All","Age Bracket","18-24",3,7375,6470,167,7617,6637,62127,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.755"
"All Ages by Age Bracket, Administered by DPH Only","DPH Only","All","Age Bracket","25-34",4,18521,16729,426,19121,17155,204639,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.756"
"All Ages by Age Bracket, Administered by DPH Only","DPH Only","All","Age Bracket","35-44",5,18309,16402,570,19011,16972,138390,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.757"
"All Ages by Age Bracket, Administered by DPH Only","DPH Only","All","Age Bracket","45-54",6,18091,16031,727,18980,16758,115527,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.758"
"All Ages by Age Bracket, Administered by DPH Only","DPH Only","All","Age Bracket","55-64",7,19309,17032,871,20369,17903,101483,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.759"
"All Ages by Age Bracket, Administered by DPH Only","DPH Only","All","Age Bracket","65-74",8,14325,12330,321,14759,12651,74120,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.760"
"All Ages by Age Bracket, Administered by DPH Only","DPH Only","All","Age Bracket","75+",9,5951,5189,235,6276,5424,60907,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.761"
"All Ages by Age Bracket, Administered by DPH Only","DPH Only","All","Age Bracket","Under 12",1,9,3,0,9,3,83656,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.762"
"All Ages by Race/Ethnicity, Administered by All Providers","All Providers","All","Race/Ethnicity","American Indian or Alaska Native",1,1197,954,113,1310,1067,1571,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.764"
"All Ages by Race/Ethnicity, Administered by All Providers","All Providers","All","Race/Ethnicity","Asian",2,207625,181326,14886,222563,196212,296790,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.765"
"All Ages by Race/Ethnicity, Administered by All Providers","All Providers","All","Race/Ethnicity","Black or African American",3,21992,18513,2383,24373,20896,43594,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.766"
"All Ages by Race/Ethnicity, Administered by All Providers","All Providers","All","Race/Ethnicity","Hispanic or Latino/a, all races",4,83902,70043,5914,89834,75957,133326,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.767"
"All Ages by Race/Ethnicity, Administered by All Providers","All Providers","All","Race/Ethnicity","Multi-Racial",7,9441,8545,489,9935,9034,38732,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.768"
"All Ages by Race/Ethnicity, Administered by All Providers","All Providers","All","Race/Ethnicity","Native Hawaiian or Other Pacific Islander",5,2437,2067,158,2597,2225,2634,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.769"
"All Ages by Race/Ethnicity, Administered by All Providers","All Providers","All","Race/Ethnicity","Other Race",8,29389,24976,2217,31620,27193,3779,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.770"
"All Ages by Race/Ethnicity, Administered by All Providers","All Providers","All","Race/Ethnicity","Unknown",9,21231,17249,1948,23225,19197,0,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.771"
"All Ages by Race/Ethnicity, Administered by All Providers","All Providers","All","Race/Ethnicity","White",6,208098,184762,17257,225453,202019,354361,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.772"
"All Ages by Race/Ethnicity, Administered by DPH Only","DPH Only","All","Race/Ethnicity","American Indian or Alaska Native",1,183,157,13,198,170,1571,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.773"
"All Ages by Race/Ethnicity, Administered by DPH Only","DPH Only","All","Race/Ethnicity","Asian",2,38486,34164,670,39521,34834,296790,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.775"
"All Ages by Race/Ethnicity, Administered by DPH Only","DPH Only","All","Race/Ethnicity","Black or African American",3,7988,6701,776,8852,7477,43594,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.776"
"All Ages by Race/Ethnicity, Administered by DPH Only","DPH Only","All","Race/Ethnicity","Hispanic or Latino/a, all races",4,29874,25505,635,30716,26140,133326,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.777"
"All Ages by Race/Ethnicity, Administered by DPH Only","DPH Only","All","Race/Ethnicity","Multi-Racial",7,1603,1436,84,1725,1520,38732,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.778"
"All Ages by Race/Ethnicity, Administered by DPH Only","DPH Only","All","Race/Ethnicity","Native Hawaiian or Other Pacific Islander",5,502,416,25,536,441,2634,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.779"
"All Ages by Race/Ethnicity, Administered by DPH Only","DPH Only","All","Race/Ethnicity","Other Race",8,3763,3250,101,3882,3351,3779,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.780"
"All Ages by Race/Ethnicity, Administered by DPH Only","DPH Only","All","Race/Ethnicity","Unknown",9,1024,725,168,1202,893,0,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.781"
"All Ages by Race/Ethnicity, Administered by DPH Only","DPH Only","All","Race/Ethnicity","White",6,21925,20110,845,22998,20955,354361,874787,"2021-06-13T06:00:12.000","2021-06-13T09:30:09.782"
